Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
HiEnd Accents,43151,755938-1,235100,136,5,0,755938,131,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755940-1,235139,115,5,0,755940,110,0,,HIEND 022118 (27.2) N
HiEnd Accents,43152,756002-1,235178,125,5,0,756002,120,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756014-3,235176,145,5,0,756014,140,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756020-2,235174,70,5,0,756020,65,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756075-2,235226,44,5,0,756075,39,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756102-2,235179,335,5,0,756102,330,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756133-4,235227,100,5,0,756133,95,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756152-1,235180,175,5,0,756152,170,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756190-1,235177,145,5,0,756190,140,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756224-1,235181,70,5,0,756224,65,0,,HIEND 022218 (13) N
HiEnd Accents,43152,756240-1,235172,24.5,5,0,756240,19.5,0,,HIEND 022218 (13) N
HiEnd Accents,43153,756287-1,235371,27,5,0,756287,22,0,,HIEND 022318 (10)
HiEnd Accents,43153,756335-1,235378,75,5,0,756335,70,0,,HIEND 022318 (10)
HiEnd Accents,43153,756377-1,235374,47,5,0,756377,42,0,,HIEND 022318 (10)
HiEnd Accents,43153,756466-2,235373,200,5,0,756466,195,0,,HIEND 022318 (10)
HiEnd Accents,43153,756486-1,235376,134.5,5,0,756486,129.5,0,,HIEND 022318 (10)
HiEnd Accents,43153,756570-1,235375,50,5,0,756570,45,0,,HIEND 022318 (10)
HiEnd Accents,43153,756621-1,235379,160,5,0,756621,155,0,,HIEND 022318 (10)
HiEnd Accents,43153,756652-3,235372,85,5,0,756652,80,0,,HIEND 022318 (10)
HOMEFIRES,43151,755025-1,45721,73,5,0,755025,68,0,,HOMEFIRES 022018 45721 N
HOMEFIRES,43151,755540-1,45739,71.5,3.5,0,755540,68,0,,HOMEFIRES 022018 45739 N
HOMEFIRES,43153,756145-2,45761,120.5,3.5,0,756145,117,0,,HOMEFIRES 022218 45761 N
"J.L.T. Studios, LLC",43146,751462-1,6844,281,6,0,751462,275,0,,JLT 022318 6844 N
"J.L.T. Studios, LLC",43151,753902-9,6845,966,36,0,753902,930,0,,JLT 022118 6845 N
"Jaipur Rugs, Inc.",43153,755922-4,233758,107,7,0,755922,100,0,,JAIPUR 022318 233758 N
"KAS Oriental Rugs, Inc.",43151,754472-1,679944,153.9,0,0,754472,153.9,0,,KAS 022018 679941 N
"KAS Oriental Rugs, Inc.",43151,754499-3,679943,308.75,0,0,754499,308.75,0,,KAS 022018 679941 N
"KAS Oriental Rugs, Inc.",43152,754753-3,680438,45.6,0,0,754753,45.6,0,,KAS 022118 680438 N
"KAS Oriental Rugs, Inc.",43151,754828-1,679942,67.45,0,0,754828,67.45,0,,KAS 022018 679941 N
"KAS Oriental Rugs, Inc.",43151,754919-1,679941,95,0,0,754919,95,0,,KAS 022018 679941 N
"KAS Oriental Rugs, Inc.",43153,755857-1,680705,296.4,0,0,755857,296.4,0,,KAS 022218 680705 N
"KAS Oriental Rugs, Inc.",43153,756033-1,680706,42.75,0,0,756033,42.75,0,,KAS 022218 680705 N
Kimlor,43146,671019-5,846271,28.95,6.95,0,671019,22,0,,KIMLOR 022218 (15) N
Kimlor,43146,706540-4,846275,17.95,6.95,0,706540,11,0,,KIMLOR 022218 (15) N
Kimlor,43146,707450-2,846276,17.95,6.95,0,707450,11,0,,KIMLOR 022218 (15) N
Kimlor,43143,726259-1,845913,122.95,6.95,0,726259,116,0,,KIMLOR 021918 845913 N
Kimlor,43133,748494-2,845915,86.45,6.95,0,748494,79.5,0,,KIMLOR 021918 (4) N
Kimlor,43143,750802-2,845916,100.95,6.95,0,750802,94,0,,KIMLOR 021918 (4) N
Kimlor,43146,751356-1,846277,45.95,6.95,0,751356,39,0,,KIMLOR 022218 (15) N
Kimlor,43145,751581-1,846207,130.95,6.95,0,751581,124,0,,KIMLOR 022218 (15) N
Kimlor,43144,751932-1,846085,36.45,6.95,0,751932,29.5,0,,KIMLOR 021918 (20) N
Kimlor,43144,751970-1,846086,83.7,6.95,0,751970,76.75,0,,KIMLOR 021918 (20) N
Kimlor,43144,752049-1,846087,68.7,6.95,0,752049,61.75,0,,KIMLOR 021918 (20) N
Kimlor,43144,752129-1,846088,18.7,6.95,0,752129,11.75,0,,KIMLOR 021918 (20) N
Kimlor,43144,752157-1,846089,20.2,6.95,0,752157,13.25,0,,KIMLOR 021918 (20) N
Kimlor,43144,752410-1,846090,67.95,6.95,0,752410,61,0,,KIMLOR 021918 (20) N
Kimlor,43146,752463-2,846279,37.2,6.95,0,752463,30.25,0,,KIMLOR 022218 (15) N
