Vendor Name,"Invoice 
Date",PO Num,"Invoice 
Number",Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Bacova Guild,43138,749609-2,4604283,9,0,0,749609,7.92,-1.08,,BACOVA 020818 (15) N
Bacova Guild,43138,749625-2,4604284,7.75,0,0,749625,6.82,-0.93,,BACOVA 020818 (15) N
Bacova Guild,43138,749055-1,4604281,14.75,0,0,749055,12.98,-1.77,,BACOVA 020818 (15) N
Bacova Guild,43138,748880-2,4604279,7.45,0,0,748880,6.56,-0.89,,BACOVA 020818 (15) N
Bacova Guild,43138,749758-3,4604286,7.45,0,0,749758,6.56,-0.89,,BACOVA 020818 (15) N
Bacova Guild,43138,747502-3,4604273,7.2,0,0,747502,6.34,-0.86,,BACOVA 020818 (15) N
Bacova Guild,43138,748078-2,4604275,28.95,0,0,748078,25.48,-3.47,,BACOVA 020818 (15) N
Bacova Guild,43138,748750-2,4604278,17.55,0,0,748750,15.45,-2.1,,BACOVA 020818 (15) N
Bacova Guild,43138,747582-1,4604274,18.4,0,0,747582,16.2,-2.2,,BACOVA 020818 (15) N
Bacova Guild,43138,749723-2,4604285,29.25,0,0,749723,25.75,-3.5,,BACOVA 020818 (15) N
Bacova Guild,43136,747162-4,4602426,32.85,0,0,747162,34.07,1.22,,BACOVA 020618 4602426 N
Colorado Carpets,43135,740297-2,1802-1,75.5,0,0,740297,75.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,740943-2,1802-1,151,0,0,740943,151,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,741482-1,1802-1,75.5,0,0,741482,75.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,741550-1,1802-1,440,0,0,741550,440,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,742755-1,1802-1,79.5,0,0,742755,79.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743391-1,1802-1,79.5,0,0,743391,79.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743478-1,1802-1,48.5,0,0,743478,48.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743572-1,1802-1,149,0,0,743572,149,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743690-1,1802-1,149,0,0,743690,149,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743284-3,1802-1,75.5,0,0,743284,75.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743721-3,1802-1,79.5,0,0,743721,79.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743783-1,1802-1,149,0,0,743783,149,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,744106-2,1802-1,79.5,0,0,744106,79.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,744358-2,1802-1,337.5,0,0,744358,337.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,744516-1,1802-1,79.5,0,0,744516,79.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,744725-2,1802-1,289,0,0,744725,289,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,744955-1,1802-1,289,0,0,744955,289,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,745053-1,1802-1,289,0,0,745053,289,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,745153-2,1802-1,79.5,0,0,745153,79.5,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,746316-1,1802-1,149,0,0,746316,149,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,743317-1,1802-1,597,0,0,743317,1190,593,,COLORADO CARPERTS 020518 BFD1802-1 N
Crestview Collection,43133,747604-1,290505,27.95,0,0,747604,27.95,0,,CRESTVIEW 020518 290504-505 N
Crestview Collection,43133,745675-1,290504,64.95,0,0,745675,64.95,0,,CRESTVIEW 020518 290504-505 N
Crestview Collection,43133,747859-2,290506,124.95,0,0,747859,124.95,0,,CRESTVIEW 020518 290506 N
Crestview Collection,43137,748024-2,291068,64.95,0,0,748024,64.95,0,,CRESTVIEW 020618 291067-68 (2) N
