Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Kimlor,43083,838974,66.95,6.95,0,727715,60,727715-1,0,,KIMLOR 122217 (35)
Colorado Carpets,43100,1712-4,53.5,0,0,727650,53.5,727650-2,0,,COLORADO CARPETS 010218 BFD1712-4
Colorado Carpets,43100,1712-4,79.5,0,0,727632,79.5,727632-2,0,,COLORADO CARPETS 010218 BFD1712-4
Kimlor,43083,838973,49.95,6.95,0,727539,43,727539-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838972,39.45,6.95,0,727528,32.5,727528-1,0,,KIMLOR 122217 (35)
WGI Gallery,43091,175981,58.84,3,0,727509,55.84,727509-1,0,,WGI 010418 175981
Kimlor,43083,838971,86.45,6.95,0,727476,79.5,727476-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838970,18.45,6.95,0,727411,11.5,727411-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838969,23.7,6.95,0,727361,16.75,727361-2,0,,KIMLOR 122217 (35)
Kimlor,43083,838968,37.2,6.95,0,727211,30.25,727211-1,-3.55271E-15,,KIMLOR 122217 (35)
Kimlor,43083,838967,88.2,6.95,0,727201,81.25,727201-1,0,,KIMLOR 122217 (35)
WGI Gallery,43091,175981,58.84,3,0,727128,55.84,727128-1,0,,WGI 010418 175981
WGI Gallery,43091,175981,58.84,3,0,727107,55.84,727107-1,0,,WGI 010418 175981
WILD WINGS,43091,338506,-58.5,0,0,727097,55.58,727097-1,55.58,Credit - NOT UPLOADED,WILD WINGS 122717 (16)
WILD WINGS,43083,337935,58.5,0,0,727097,55.58,727097-1,55.58,,WILD WINGS 122217 (7)
WILD WINGS,43083,337934,35,0,0,726994,28.5,726994-2,-6.5,PO MISMATCH,WILD WINGS 122217 (7)
WGI Gallery,43091,175981,58.84,3,0,726993,55.84,726993-1,0,,WGI 010418 175981
Artisans Gallery,43084,726892-2,56.93,7.43,0,726892,49.5,726892-2,0,,ARTISANS GALLERY 121817 726892-2
"Midwest-CBK, LLC",43088,9714700,65,5,0,726873,60,726873-1,0,,MIDWEST 122217 9714700
Laural Home,43090,17393,49,0,0,726681,49,726681-1,0,,LAURAL HOME 122717 (23)
WGI Gallery,43091,175981,70.02,3,0,726621,67.02,726621-3,0,,WGI 010418 175981
Kimlor,43083,838966,53.95,6.95,0,726613,47,726613-1,0,,KIMLOR 122217 (35)
Colorado Carpets,43100,1712-4,75.5,0,0,726599,75.5,726599-2,0,,COLORADO CARPETS 010218 BFD1712-4
Colorado Carpets,43100,1712-4,234.5,0,0,726495,234.5,726495-1,0,,COLORADO CARPETS 010218 BFD1712-4
WILD WINGS,43081,337708,62,5,0,726468,57,726468-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
Kimlor,43084,839224,82.5,6.95,0,726457,92.25,726457-1,6.95,,KIMLOR 122717 (111)
Kimlor,43089,840234,9.75,0,0,726457,92.25,726457-1,6.95,,KIMLOR 122717 (111)
Kimlor,43083,838965,120.95,6.95,0,726443,114,726443-1,0,,KIMLOR 122217 (35)
Kimlor,43084,839223,59.95,6.95,0,726441,53,726441-1,0,,KIMLOR 122717 (111)
Colorado Carpets,43100,1712-4,75.5,0,0,726371,75.5,726371-1,0,,COLORADO CARPETS 010218 BFD1712-4
Kimlor,43084,839334,49.95,6.95,0,726270,43,726270-2,0,,KIMLOR 122717 (111)
WGI Gallery,43088,175963,70.02,3,0,726263,67.02,726263-1,0,,WGI 010418 175963
WILD WINGS,43081,337709,62,5,0,726246,57,726246-2,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
Colorado Carpets,43100,1712-4,75.5,0,0,726121,75.5,726121-1,0,,COLORADO CARPETS 010218 BFD1712-4
WGI Gallery,43088,175963,70.02,3,0,726065,67.02,726065-1,0,,WGI 010418 175963
WILD WINGS,43081,337710,76.25,5,0,726017,71.25,726017-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
WGI Gallery,43088,175963,51.75,3,0,725840,24.5,725840-2,-24.25,PO MISMATCH,WGI 010418 175963
HiEnd Accents,43091,228976,22.5,5,0,725833,17.5,725833-2,0,,HIEND 010518 (69)
Kimlor,43083,838964,120.95,6.95,0,725811,114,725811-1,0,,KIMLOR 122217 (35)
Colorado Carpets,43100,1712-4,149,0,0,725808,149,725808-1,0,,COLORADO CARPETS 010218 BFD1712-4
WGI Gallery,43088,175963,70.02,3,0,725756,67.02,725756-1,0,,WGI 010418 175963
Colorado Carpets,43100,1712-4,149,0,0,725740,149,725740-2,0,,COLORADO CARPETS 010218 BFD1712-4
Kimlor,43084,839312,93.45,6.95,0,725709,86.5,725709-1,0,,KIMLOR 122717 (111)
WILD WINGS,43081,337711,53.45,5,0,725660,48.45,725660-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
WILD WINGS,43081,337712,62,5,0,725561,57,725561-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
Colorado Carpets,43100,1712-4,289,0,0,725421,289,725421-1,0,,COLORADO CARPETS 010218 BFD1712-4
WGI Gallery,43088,175963,70.02,3,0,725381,122.86,725381-2,55.84,,WGI 010418 175963
Colorado Carpets,43100,1712-4,75.5,0,0,725180,75.5,725180-1,0,,COLORADO CARPETS 010218 BFD1712-4
WILD WINGS,43083,337905,35,0,0,725084,28.5,725084-1,-6.5,PO MISMATCH,WILD WINGS 122217 (7)
WGI Gallery,43088,175963,114.68,3,0,725057,111.68,725057-2,0,,WGI 010418 175963
Colorado Carpets,43100,1712-4,75.5,0,0,725005,75.5,725005-1,0,,COLORADO CARPETS 010218 BFD1712-4
WILD WINGS,43083,337906,35,0,0,724950,28.5,724950-2,-6.5,PO MISMATCH,WILD WINGS 122217 (7)
Kimlor,43088,840001,166.7,6.95,0,724836,271.25,724836-1,111.5,,KIMLOR 122717 (111)
