Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Bacova Guild,43138,4604274,18.4,0,0,747582,16.2,747582-1,-2.2,,BACOVA 020818 (15) N
Bacova Guild,43138,4604285,29.25,0,0,749723,25.75,749723-2,-3.5,,BACOVA 020818 (15) N
Bacova Guild,43136,4602426,32.85,0,0,747162,34.07,747162-4,1.22,,BACOVA 020618 4602426 N
Colorado Carpets,43135,1802-1,75.5,0,0,740297,75.5,740297-2,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,151,0,0,740943,151,740943-2,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,75.5,0,0,741482,75.5,741482-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,440,0,0,741550,440,741550-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,79.5,0,0,742755,79.5,742755-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,79.5,0,0,743391,79.5,743391-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,48.5,0,0,743478,48.5,743478-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,149,0,0,743572,149,743572-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,149,0,0,743690,149,743690-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,75.5,0,0,743284,75.5,743284-3,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,79.5,0,0,743721,79.5,743721-3,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,149,0,0,743783,149,743783-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,79.5,0,0,744106,79.5,744106-2,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,337.5,0,0,744358,337.5,744358-2,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,79.5,0,0,744516,79.5,744516-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,289,0,0,744725,289,744725-2,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,289,0,0,744955,289,744955-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,289,0,0,745053,289,745053-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,79.5,0,0,745153,79.5,745153-2,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,149,0,0,746316,149,746316-1,0,,COLORADO CARPERTS 020518 BFD1802-1 N
Colorado Carpets,43135,1802-1,597,0,0,743317,1190,743317-1,593,,COLORADO CARPERTS 020518 BFD1802-1 N
Crestview Collection,43133,290505,27.95,0,0,747604,27.95,747604-1,0,,CRESTVIEW 020518 290504-505 N
Crestview Collection,43133,290504,64.95,0,0,745675,64.95,745675-1,0,,CRESTVIEW 020518 290504-505 N
Crestview Collection,43133,290506,124.95,0,0,747859,124.95,747859-2,0,,CRESTVIEW 020518 290506 N
Crestview Collection,43137,291068,64.95,0,0,748024,64.95,748024-2,0,,CRESTVIEW 020618 291067-68 (2) N
Crestview Collection,43137,291069,59.95,0,0,748304,59.95,748304-3,0,,CRESTVIEW 020618 291069 N
Crestview Collection,43138,291589,54.5,0,0,749900,54.5,749900-3,0,,CRESTVIEW 020718 291598 (2) N
Crestview Collection,43138,291591,64.95,0,0,749356,68,749356-2,3.05,,CRESTVIEW 020718 291598 (2) N
Crestview Collection,43137,291067,84.95,0,0,730712,424.75,730712-5,339.8,,CRESTVIEW 020618 291067-68 (2) N
Crestview Collection,43138,291595,129.9,0,0,749080,136,749080-1,6.1,,CRESTVIEW 020718 291595 N
EVERGREEN ENTERPRISES,43132,6422310,180,5,0,744567,175,744567-1,0,,EVERGREEN 020518 6422310 N
EVERGREEN ENTERPRISES,43131,6422311,35,5,0,746007,30,746007-2,0,,EVERGREEN 020518 6422311 N
EVERGREEN ENTERPRISES,43131,6422313,22,5,0,746078,17,746078-2,0,,EVERGREEN 020518 6422313 N
EVERGREEN ENTERPRISES,43138,6428078,105,5,0,747177,100,747177-2,0,,EVERGREEN 020818 6428078 N
EVERGREEN ENTERPRISES,43138,6428079,13.5,5,0,749096,8.5,749096-3,0,,EVERGREEN 020818 6428079 N
EVERGREEN ENTERPRISES,43138,6428081,30.5,5,0,749251,25.5,749251-1,0,,EVERGREEN 020818 6428081 N
EVERGREEN ENTERPRISES,43138,6428083,35,5,0,749316,30,749316-2,0,,EVERGREEN 020818 6428083 N
EVERGREEN ENTERPRISES,43138,6428086,35,5,0,749977,30,749977-2,0,,EVERGREEN 020818 6428086 N
"EXPO DECOR, LLC",43070,78764,40,5,0,714500,63,714500-1,28,,EXPO 020818 78764 N
"EXPO DECOR, LLC",43455,78908,77,5,0,716303,194.4,716303-3,122.4,,EXPO 020818 78908 N
Fireside Lodge,43137,69624,575.06,225.06,0,740832,343,740832-2,-7,,FIRESDIE 020718 69624 N20
Fireside Lodge,43138,69820,205,0,0,737172,205.8,737172-1,0.8,,FIRESIDE 020818 69820 N20
Fireside Lodge,43139,69829,185,0,0,739730,186.2,739730-1,1.2,,FIRESIDE 020818 69829 N20
HiEnd Accents,43129,232681,50,5,0,745650,45,745650-2,0,,HI END 013118 23
HiEnd Accents,43129,232682,130,5,0,746186,125,746186-2,0,,HI END 013118 23
HiEnd Accents,43129,232683,80,5,0,746071,75,746071-1,0,,HI END 013118 23
HiEnd Accents,43129,232684,74,5,0,746103,69,746103-1,0,,HI END 013118 23
HiEnd Accents,43129,232685,165,5,0,745576,160,745576-1,0,,HI END 013118 23
HiEnd Accents,43129,232686,44,5,0,746195,39,746195-2,0,,HI END 013118 23
HiEnd Accents,43129,232687,45,5,0,745975,40,745975-2,0,,HI END 013118 23
HiEnd Accents,43129,232688,27,5,0,745630,22,745630-3,0,,HI END 013118 23
HiEnd Accents,43129,232689,636,5,0,745546,631,745546-2,0,,HI END 013118 23
HiEnd Accents,43129,232690,25,5,0,745836,20,745836-1,0,,HI END 013118 23
HiEnd Accents,43129,232691,125,5,0,746087,120,746087-1,0,,HI END 013118 23
HiEnd Accents,43129,232692,85,5,0,745774,80,745774-2,0,,HI END 013118 23
HiEnd Accents,43129,232693,75,5,0,746356,70,746356-1,0,,HI END 013118 23
HiEnd Accents,43129,232694,200,5,0,746260,195,746260-2,0,,HI END 013118 23
HiEnd Accents,43129,232695,130,5,0,746228,125,746228-1,0,,HI END 013118 23
HiEnd Accents,43129,232696,185,5,0,745925,180,745925-1,0,,HI END 013118 23
HiEnd Accents,43129,232697,50,5,0,745847,45,745847-2,0,,HI END 013118 23
HiEnd Accents,43129,232698,85,5,0,745966,80,745966-2,0,,HI END 013118 23
HiEnd Accents,43129,232699,385,5,0,745928,380,745928-1,0,,HI END 013118 23
HiEnd Accents,43129,232700,105,5,0,745498,100,745498-4,0,,HI END 013118 23
HiEnd Accents,43129,232701,228,5,0,745462,223,745462-2,0,,HI END 013118 23
HiEnd Accents,43129,232702,318,5,0,745437,313,745437-2,0,,HI END 013118 23
HiEnd Accents,43132,232996,40,5,0,747129,35,747129-1,0,,HI END 020718 132 N
HiEnd Accents,43132,232997,345,5,0,747176,340,747176-1,0,,HI END 020718 132 N
HiEnd Accents,43132,232998,74.5,5,0,747224,69.5,747224-2,0,,HI END 020718 132 N
HiEnd Accents,43132,232999,351,5,0,746893,346,746893-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233000,147,5,0,747410,142,747410-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233001,85,5,0,747445,80,747445-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233002,175,5,0,741654,170,741654-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233003,235,5,0,747040,230,747040-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233004,160,5,0,747290,155,747290-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233005,95,5,0,747249,90,747249-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233006,50,5,0,747229,45,747229-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233007,85,5,0,747119,80,747119-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233008,22.5,5,0,747035,17.5,747035-3,0,,HI END 020718 132 N
HiEnd Accents,43132,233009,115,5,0,747225,110,747225-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233010,55,5,0,746850,50,746850-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233011,27,5,0,747385,22,747385-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233012,45,5,0,746977,40,746977-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233013,150,5,0,747196,145,747196-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233081,27,5,0,747948,22,747948-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233082,85,5,0,747878,80,747878-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233083,55,5,0,747854,50,747854-3,0,,HI END 020718 132 N
HiEnd Accents,43132,233084,255,5,0,747844,250,747844-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233085,145,5,0,747715,140,747715-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233086,208.5,5,0,747753,203.5,747753-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233087,25,5,0,747665,20,747665-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233088,170,5,0,747786,165,747786-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233089,85,5,0,747708,80,747708-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233090,20,5,0,747678,15,747678-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233091,300,5,0,747525,295,747525-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233092,370,5,0,747296,365,747296-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233093,229,5,0,747800,224,747800-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233094,26,5,0,747423,21,747423-3,0,,HI END 020718 132 N
HiEnd Accents,43132,233095,47,5,0,747728,42,747728-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233096,22.5,5,0,747647,17.5,747647-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233097,227,5,0,747197,222,747197-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233098,115,5,0,747491,110,747491-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233099,27,5,0,747448,22,747448-5,0,,HI END 020718 132 N
HiEnd Accents,43132,233100,30,5,0,747507,25,747507-2,0,,HI END 020718 132 N
HiEnd Accents,43132,233101,295,5,0,747677,290,747677-1,0,,HI END 020718 132 N
HiEnd Accents,43132,233102,152.5,5,0,747853,147.5,747853-2,0,,HI END 020718 132 N
HiEnd Accents,43133,233220,50,5,0,748538,45,748538-2,0,,HI END 020718 132 N
HiEnd Accents,43133,233221,155,5,0,748482,150,748482-1,0,,HI END 020718 132 N
HiEnd Accents,43133,233222,170,5,0,748509,165,748509-1,0,,HI END 020718 132 N
HiEnd Accents,43133,233223,170,5,0,748175,165,748175-1,0,,HI END 020718 132 N
