itemCode,yahooID,itemName,description,amzbulletpoint1,amzbulletpoint2,amzbulletpoint3,amzbulletpoint4,amzbulletpoint5
DS13516,cast-iron-belt-cabinet-pulls-set-of-2,Cast Iron Belt Cabinet Pulls (Set of 2),"Exclusive - Bring classic western charm to cabinets or drawers with this cast iron hardware in rustic finishes. Screws included. Measures 5Â½""W x 1Â¼""D x 1Â¾""H each with 3Â¾"" centers. ~",,,,,
DS21760,,Lone Star Bathroom Door Shelf,"A Lone Star Western Decor Exclusive - Organize your bath with these wrought iron and metal mesh over-the-door baskets featuring western stars in a dark brown finish.  Measures 12Â½""W x 5Â¾""D x 35Â½""H. ~",,,,,
DS22070,black-bear-metal-storage-rack-shelf,Black Bear Metal Storage Rack/Shelf,"Exclusive - Perfect for organizing your cabin entry or bath, the black metal wall-mount Black Bear Metal Storage Rack/Shelf features bear and pine tree silhouettes, graceful scrolls and four hooks for hanging.  Measures 12""W x 5""D x 29Â½""H. ~",,,,,
WW5227755168,,Moose Camp Tin Sign,"Perfect for your outdoor getaway, the humorous Moose Camp Tin Sign has an antiqued finish.  Made in the USA.  Measures 12Â½""W x 16""H. ~",,,,,
PK15712,walk-in-the-woods-table-runner-36-inch,Walk in the Woods Table Runner - 36 Inch,"Pine boughs, script and stamps create vintage appeal on the scalloped-edge cotton table runners. Machine wash. Measures 13""W x 36""L. ~",,,,,
PK67527,welcome-to-the-cabin-doormat,Welcome to the Cabin Doormat,"Exclusive - Greet your cabin guests with the durable natural-fiber Welcome to the Cabin Doormat hand-painted with colorfast, nontoxic dyes.  Mildew and skid resistant.  Measures 21Â½""W x 29""L. ~",,,,,
DLART2305,wood-carved-pine-trees-set-of-3,Wood Carved Pine Trees (Set of 3),"A Black Forest Decor Exclusive - Bring fresh woodland detail to your mantel with the handcrafted solid pine carvings in a hand-painted finish. Measures 12"", 16"" and 20""H. ~",,,,,
LKRA6595,tooled-turquoise-flowers-bath-set-3-pcs,Tooled Turquoise Flowers Bath Set (3 pcs),"Exclusive - A tooled flower design is replicated in cast resin on these western accessories with a two-tone turquoise finish and studded trim. Measures Includes 3""Dia. x 4Â½""H tumbler, 5Â½""W x 4Â¼""D x 1Â¼""H soap dish, and 5""W x 2Â½""D x 4Â½""H toothbrush holder. ~",,,,,
CARJB5099,starlight-trails-adobe-valance,Starlight Trails Adobe Valance,"A Lone Star Western Decor Exclusive - Give your windows rodeo style with the caramel microsuede Starlight Trails Adobe Valance enhanced with an embroidered star and embroidered dots along the curved bottom.  Dry clean.  Measures 54""W x 18""H with 3"" rod pocket. ~",,,,,
CARJB6601,rocky-ridge-sofa-cover,Rocky Ridge Sofa Cover,"Protect your furniture in cabin style with rows of rambling bears and moose in rich burgundy, green, gold, tan and black 100% poly woven chenille. Dry clean. Measures 74""W x 170""L. ~",,,,,
DS15010,black-bears-birch-wall-cross,Black Bears Birch Wall Cross,"Exclusive - Playful bear cubs climb on this polyresin cross featuring bundles of faux birch twigs. Measures 11Â½""W x 2Â¼""D x 17Â¼""H. ~",,,,,
DS21784,pinecone-metal-curtain-rod,Pinecone Metal Curtain Rod,"A Black Forest Decor Exclusive - Detailed woodland accents add rustic appeal to the wrought iron Pinecone Metal Curtain Rod and bracket set in an antiqued dark brown finish.  Include extendable heavy duty rod, two brackets, screws and drywall anchors.  Measures 48-84""W x 5""D x 6""H. ~",,,,,
DS62032,black-bear-river-plush-blanket-king,Black Bear River Plush Blanket - King,"Exclusive - Warm up your cabin bedroom with this poly fleece collection featuring bears, trees, canoes and diamonds in shades of toffee, rust, black and green. Machine wash, dry clean pillows. Dimensions available online. Measures 108""W x 90""L. ~",,,,,
ERMSPR19,moose-jute-trivet,Moose Jute Trivet,"A Black Forest Decor Exclusive - A printed moose design adds charm to the braided 100% natural Moose Jute Trivet in rustic colors.  Measures 10""Dia.. ~",,,,,
CARJB4101,western-paisley-beaumont-bed-set-king,Western Paisley Beaumont Bed Set - King,"A Black Forest Decor Exclusive - Rich brown, caramel and tan paisley woven chenille, rugged distressed faux leather, solid brown chenille and concho accents give the Western Paisley Beaumont King Bed Set a sophisticated look.  Bed set includes 110""W x 96""L comforter, 76""W x 80""L x 15""H bedskirt, two 20""W x 37""L king shams and one 9""W x 20""L neckroll.  Dry clean. ~",,,,,
DS21231,ds21231,Metal Pinecone Toilet Paper Holder,"A Black Forest Decor Exclusive - Delicate pine needles and detailed pinecones combine with gently twisted metal in a rich, dark brown finish to create the Metal Pinecone Toilet Paper Holder.  Measures 7 3/4""W x 3""D x 6 1/2""H. ~",,,,,
KM07175900015RT,,Realtree AP Pink Sheet Set - XL Twin,"Bring a feminine touch to your camo bedroom with the Realtree AP Pink XL Twin Sheet Set, made from a cotton/poly blend and featuring the Realtree All Purpose camo pattern on a soft pink background. Set includes fitted sheet, flat sheet and one 21""W x 26""L standard pillow case. Machine wash. ~ Ships from the manufacturer. Allow 1 to 2 weeks. Cannot express ship or ship to Alaska or Canada. ~ Ships from the manufacturer. Allow 1 to 2 weeks. Cannot express ship or ship to Alaska or Canada.",,,,,
RE654,,Pinecone Curtain Tiebacks - Set of 2,Let sunlight in with this set of two hand-painted polyresin tiebacks with graceful pinecones and needles.  Mounting screws included. ~,,,,,
VXOW50593OA,pinecone-cabin-outdoor-wall-lamp-medium,Pinecone Cabin Outdoor Wall Lamp - Medium,"Add grace and warmth to your home with the Pinecone Cabin Medium Outdoor Wall Lamp.  Combining metal art pinecones with a sleek design, this Mission-inspired wall light perfectly complements your cabin.  Finished in an Old World patina with a rust Scavo glass shade and uses one 100-watt max bulb.  Measures 9 1/4""W x 11 3/4""D x 10 1/4""H. ~ Ships from the manufacturer. Allow 1 week. Cannot express ship or ship to Alaska.",,,,,
2DD25662,moosebearsaladplate,Bear Lodge Stoneware Salad Plate,"An earthy green glaze with a bear forest scene makes the Moose and Bear Lodge Stoneware Bear Salad Plate the perfect complement to cabin meals.  Microwave and dishwasher safe.  Measures 8Â¼""Dia. ~",,,,,
UDX1459,deer-head-cast-iron-coat-hooks,Deer Head Cast Iron Coat Hooks,A Black Forest Decor exclusive - Add a classic hunting lodge look to your entryway with this rustic brown cast iron deer mount with two hooks. 8 1/2âW x 3 1/2âD x 11âH,,,,,
2HMBS1001QNOC,faux-leather-bedskirt-queen,Faux Leather Bedskirt - Queen,"A Black Forest Decor Exclusive - An inviting mix of textures complement quilted 100% cotton in an intricate red and brown diamond print to create the rustic collection. Quilt sets include quilt and two shams (twin has one). Dry clean, machine wash quilt set. Dimensions available online. Measures 60""W x 80""L. ~",,,,,
2DD25656,moose-and-bear-lodge-stoneware-moose-mug,Moose Lodge Stoneware Mug,"An earthy red glaze with a moose forest scene makes the Moose and Bear Lodge Stoneware Moose Mug the perfect complement to cabin meals.  Microwave and dishwasher safe.  Measures 4""W x 3Â½""D x 5""H. ~",,,,,
MBHS37832X8,vintage-woods-rug-2-x-8,Vintage Woods Rug - 2 x 8,"Exclusive - Reminiscent of weathered barnwood in shades of deep red, black, denim, sage, brass, ivory and tan, these olefin rugs with serged edges add a rustic look to your room.  Stain and fade resistant.  Allow 1 week.  Measures 2'3""W x 7'7""L. ~",,,,,
LANRTWS24WLF,,Tapestry of the Southwest Metal Wall Art,"The Tapestry of the Southwest Metal Wall Art is the perfect accent for your southwest home, featuring a cut-out design by artist Neil Rose that features kokopelli, pot, coyote and cactus images.<ul><li>24""W x 21""H</li> <li>Laser-cut metal</li> <li>Fusion finish</li> <li>Made in the USA</li> </ul> ~ Ships from the manufacturer. Allow 1 to 2 weeks. Cannot express ship.",,,,,
LKRA3566,floral-tooled-turquoise-bath-set-3-pcs,Floral Tooled Turquoise Bath Set (3 pcs),"A Lone Star Western Decor Exclusive - With an elegant floral design, these resin accessories capture the look of vintage turquoise tooled leather.  Dimensions available online.  Measures Includes toothbrush holder (4Â½""W x 2""D x 4""H), tumbler (2Â¾""Dia. x 4Â½""H) and soap dish (5Â¾""W x 4Â½""D x 1""H).. ~",,,,,
KE13013D,rather-be-fishing-lotion-pump,Rather Be Fishing Lotion Pump,"Emblems of fishing life and vintage lodge signs turn your bath into a rustic getaway.  Resin bath accessories and 100% cotton ivory towels.  Measures 3Â½""W x 3Â½""D x 7Â¼""H. ~",,,,,
KM07102600244DU,,Ducks Unlimited Plaid Dark Square Pillow,"Cotton/poly blend with Ducks Unlimited logo. Machine wash cold, tumble dry low. ~",,,,,
JYJBMC018,curious-cow-accent-rug,Curious Cow Accent Rug,Add country charm to your room with this fade-resistant recycled polyester rug. Machine wash. Add country charm to your room with this fade-resistant recycled polyester rug. Machine wash.,,,,,
AQW110882,,Black Bear Wood Panel,"A Black Forest Decor Exclusive - Printed on knotted wood in warm soothing colors, the Black Bear Wood Panel brings rustic beauty to your room.  Measures 23Â½""W x 1""D x 16""H. ~",,,,,
BN63691360,appalachian-valance,Appalachian Valance,"Exclusive - Display your love of nature with these unlined valances in three cabin-inspired patchwork prints.  Dry clean.  55% poly/45% rayon  Measures 52""W x 15Â½""H each. ~",,,,,
CL3370SRACA777,adirondack-chair-lake-table-lamp,Adirondack Chair Lake Table Lamp,"Exclusive - Light your cabin with this wood lamp with a hand-painted and stained red Adirondack chair base, metal fishing rod and hand-painted parchment shade.  Uses one 3-way, 100-watt max bulb.  Made in the USA.  Measures 17""W x 27Â½""H. ~   Allow 1 to 2 weeks.",,,,,
DS21082,ds21082,Lone Star Fireplace Screen,"A Lone Star Western Decor Exclusive - Classic stars accented with scrollwork make the decorative and functional dark brown metal Lone Star Fireplace Screen the perfect western touch for your hearth.  Metal mesh screen.  Dust or water clean as needed; do not oil.  Measures 42""W x 1""D x 34 1/4""H. ~",,,,,
KE3810HM,pine-haven-hand-towel,Pine Haven Hand Towel,"Exclusive - These soft mocha 100% cotton towels feature embroidered pine branches and textured linen-like trim with contrast stitching for a beautifully rustic look.  Measures 16""W x 30""L. ~",,,,,
VXVL38841OL,,Vine Single Wall Lamp,"Capture nature-inspired style with the Vine Single Wall Lamp.  Made with a gracefully curved base with vines and leaves that wrap around the shade, this wall light is the perfect accent for your dÃ©cor.<ul><li>7 1/2""W x 10""D x 9""H</li> <li>Steel</li> <li>Reversible from uplight to downlight</li> <li>Oil Shale finish</li> <li>Uses one 100-watt max bulb</li> <li>Amber flake glass shade</li> <li>UL rated for damp locations</li> </ul> ~ Ships from the manufacturer. Allow 2 business days.",,,,,
WW4373040102,misty-forest-tissue-box-and-waste-basket-set,Misty Forest Tissue Box & Waste Basket Set,"Wrapped in canvas with a beautiful treescape print, this wood tissue box and waste basket are trimmed in faux leather with brass studs. Measures Tissue Box: 6""W x 6""D x 6""H; Waste Basket: 13""W x 9""D x 14""H. ~",,,,,
2HMBL1763TTOC,pinewood-forest-bath-rug,Pinewood Forest Bath Rug,"Featuring stately pines in rich earth tones, this accent rug brings natural beauty to your bath. 24""W x 36""L",,,,,
LKRA8769,rustic-cross-bath-set-3-pcs,Rustic Cross Bath Set - 3 pcs,"Exclusive - Large faux wood crosses are adorned with silver-finished cross, stud and floral details on these painted resin bath accessories. Measures Includes toothbrush holder (4 1/8""W x 2Â¾""D x 4""H), tumbler (3""Dia. x 4 3/8""H) and soap dish (5 5/8""W x 4""D x 1 1/8""H).. ~",,,,,
MWUWSR72,,Turquoise Western Star Table Runner,"Exclusive - In turquoise, red and rust with stars, paisley and barbed wire, this tasseled runner gives your table western spirit. Spot clean. Made in the USA.  Measures 12""W x 72""L. ~",,,,,
DS10817,woodlands-pinecone-lamp,Woodlands Pinecone Lamp,"A Black Forest Decor Exclusive - Bring a woodland accent to your home with the detailed painted polyresin Woodlands Pinecone Lamp with laced shade.  Uses one 40-watt max bulb.  Measures 14""W x 14""D x 26Â¾""H. ~",,,,,
HXLD8206SOOC,,Black Bear Hideaway Outlet Cover,"Exclusive - Decorate your lodge with rustic wood textures, lacing and burnished bear silhouettes on these cast resin switch plates.  Measures 3Â¼""W x 4 13/16""H. ~",,,,,
HXTL5100P,pinecone-plaid-towel-set-3-pcs,Pinecone Plaid Towel Set - 3 pcs,"In rustic red, green and tan plaid, the embroidered 100% cotton Pinecone Plaid Towel Set has a classic lodge style.  Three piece set includes bath towel (27""W x 52""L), hand towel (16""W x 32""L) and wash cloth (13""W x 14""L).  Machine wash. ~",,,,,
LAIN20WLF,lain20wlf,End of Trail Indian Wall Art,"The iconic and emotional End of Trail Indian Wall Art piece is made from laser cut steel with a unique, multicolored fusion finish and adds a dramatic element to your home.  Made in the USA.  Measures 13 1/2""W x 1/2""D x 20""H. ~ Ships from the manufacturer.  Allow 3 weeks.  Cannot express ship or ship to Alaska or Canada.",,,,,
KDR0755,moose-wilderness-oven-mitt,Moose Wilderness Oven Mitt,"Protect your hands with the printed moose and forest collage on the Moose Wilderness Oven Mitt, in machine washable 100% cotton.  Measures 13""L. ~",,,,,
KE13017B,black-bear-lodge-toothbrush-holder,Black Bear Lodge Toothbrush Holder,"Featuring playful black bears, the resin Black Bear Lodge Toothbrush Holder adds the perfect rustic detail to your bath.  Measures 5""W x 3Â¾""H. ~",,,,,
