asin,sku,cost,item_description,vendor,brand, map pricing 
B071J4HBYH,2BG89652,,Black Forest Decor Lake Lodge Wastebasket,,,1000
B07GZFLFMJ,2BHHL4CSKG,,Black Forest Decor Mountainside Bear Bed Set - King,,,1000
B07GZFY7YC,2BHHL4CSQN,,Mountainside Bear Bed Set - Queen,,,1000
B07GZHP1N3,2BHHL4CSTW,,Black Forest Decor Mountainside Bear Bed Set - Twin,,,1000
B07H91KKVM,2BHMTS4CSK,,Black Forest Decor Durango Wildlife Bed Set - King,,,1000
B07GZNBC13,2BHMTS4CSQ,,Black Forest Decor Durango Wildlife Bed Set - Queen,,,1000
B07GZHYMFK,2BHMTS4CST,,Black Forest Decor Durango Wildlife Bed Set - Twin,,,1000
B07CSQR6H7,2BHZIOCM4F,,Black Forest Decor Great Outdoors Bed Set - Queen,,,1000
B07CSPBFJH,2BHZIOCM4K,,Black Forest Decor Great Outdoors Bed Set - King,,,1000
B07CSH1ZFB,2BHZIOCM4T,,Black Forest Decor Great Outdoors Bed Set - Twin,,,1000
B07CYX8MWK,2CRJB4159,,Bear and Chestnut Pillow,,,1000
B078V26L41,2CRJB4165,,Black Forest Décor Saguaro Fur Pillow,,,1000
B07CW9Q27F,2CRJB519,,Black Forest Decor Bear Valley Plush Drapes,,,1000
B07CZ24WQ4,2CRJB6153,,Black Forest Decor Kodiak Bear Pillow,,,1000
B01MPWKIVB,2CRJB65424,,Black Forest Decor Dakota Sky Bed Set - Twin,,,1000
B01M5FB5ZD,2CRJB65435,,Black Forest Decor Dakota Sky Bed Set - Queen,,,1000
B01M5FB4EU,2CRJB6545,,Black Forest Decor Dakota Sky Euro Sham,,,1000
B01MCXM40P,2CRJB6548,,Dakota Sky Valance,,,1000
B01M9EYUG9,2CRJB6549,,Black Forest Décor Dakota Sky Diamond and Berry Concho Pillow,,,1000
B078V2NZH8,2CRJB6550,,Black Forest Decor Faux Croc Feather Circle Pillow,,,1000
